職位名稱,公司名稱,工作經歷,公司連結,職位連結,excel,internet explorer,powerpoint,word,outlook
業務經理(ASD),前進國際股份有限公司,2年以上,https://www.104.com.tw/company/7hlkrgw,https://www.104.com.tw/job/3xbl0?jobsource=jolist_b_relevance,1,1,1,1,0
客戶經理   Account Manager @台北 (跨國雲網資安服務/整合性方案銷售),泰富國際網絡股份有限公司,3年以上,https://www.104.com.tw/company/10zd961k,https://www.104.com.tw/job/6n5ee?jobsource=jolist_b_relevance,0,0,0,0,0
業務經理,迪悌資訊顧問股份有限公司,5年以上,https://www.104.com.tw/company/aujfm8g,https://www.104.com.tw/job/22cm3?jobsource=jolist_b_relevance,0,0,0,0,0
業務專員/經理(北區),上奇科技股份有限公司,2年以上,https://www.104.com.tw/company/13kz7vt4,https://www.104.com.tw/job/65vbd?jobsource=jolist_b_relevance,0,0,0,0,0
BI業務專案經理,耐特普羅資訊股份有限公司,5年以上,https://www.104.com.tw/company/156ck2tk,https://www.104.com.tw/job/606v5?jobsource=jolist_b_relevance,0,0,0,0,0
業務經理,果實夥伴股份有限公司,3年以上,https://www.104.com.tw/company/b8w975s,https://www.104.com.tw/job/68asb?jobsource=jolist_b_relevance,1,0,1,1,0
業務經理,聯款通股份有限公司,4年以上,https://www.104.com.tw/company/ohuymi0,https://www.104.com.tw/job/5cx0n?jobsource=jolist_b_relevance,1,0,1,1,1
