職位名稱,公司名稱,工作經歷,公司連結,職位連結,asp.net,c#,mysql,aws,dhtml,javascript,linux,php,ms sql,microsoft sharepoint,web master/developer,freebsd,unix,github,python,visual c#,ajax,node.js,labview,jdbc,oracle,postgresql,hadoop,tableau,power bi,hive,san/nas,teradata,tibco,r,go,firewall,ids,security,vpn,ips,android,c++,html,unity3d,dos,mac os,os/2,solaris,windows 98,windows mobile,windows vista,windows xp,windows 7,ios,windows 8,windows 10,actionscript,asp,c,java,vba,visual basic,visual basic .net,visual c++,dbase,access,pl/sql,dreamweaver,fireworks,vbscript,xml,css,http,tcp/ip,excel,internet explorer,powerpoint,project,visio,word,adobe photoshop,illustrator,jquery,outlook,reactjs,angularjs,database management
系統工程師,財團法人和氣大愛文教基金會,2年以上,https://www.104.com.tw/company/87jwdew,https://www.104.com.tw/job/6xds0?jobsource=jolist_b_relevance,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS/System Supervisor,財團法人和氣大愛文教基金會,2年以上,https://www.104.com.tw/company/87jwdew,https://www.104.com.tw/job/6wp73?jobsource=jolist_b_relevance,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
應用系統導入專員,廣達集團_雲達科技股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bihks,https://www.104.com.tw/job/54l8i?jobsource=jolist_b_relevance,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Computing Business Development Specialist,廣達集團_雲達科技股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bihks,https://www.104.com.tw/job/41xa4?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blockchain 區塊鏈工程師(桃園),瞧瞧科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkql3,https://www.104.com.tw/job/6wtv4?jobsource=jolist_b_relevance,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Web Full-Stack Engineer,墊腳石圖書股份有限公司,3年以上,https://www.104.com.tw/company/14z7k3u0,https://www.104.com.tw/job/4c2cs?jobsource=jolist_b_relevance,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大數據分析工程師（Big Data Analysis engineer）,安智聯科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkzzz,https://www.104.com.tw/job/6xrlh?jobsource=jolist_b_relevance,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
影像處理工程師,安智聯科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkzzz,https://www.104.com.tw/job/6xrl9?jobsource=jolist_b_relevance,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
演算法開發專案主管,安智聯科技有限公司,5年以上,https://www.104.com.tw/company/1a2x6bkzzz,https://www.104.com.tw/job/6taoi?jobsource=jolist_b_relevance,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【MIS】 資訊安全工程師【林口】,神達電腦股份有限公司,3年以上,https://www.104.com.tw/company/lpittnk,https://www.104.com.tw/job/6bemn?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
