職位名稱,公司名稱,工作經歷,公司連結,職位連結
Regional Information Security Officer,夏暉物流有限公司,5年以上,https://www.104.com.tw/company/18mv80rs,https://www.104.com.tw/job/6yjbm?jobsource=jolist_b_relevance
SCM Data Analyst Specialist/ 供應鏈數據分析專員,泰洛斯製造股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bjp8d,https://www.104.com.tw/job/6tp20?jobsource=jolist_b_relevance
Material Operation Data Analyst/ 數據分析師,泰洛斯製造股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bjp8d,https://www.104.com.tw/job/6sj4f?jobsource=jolist_b_relevance
Big Data Software Engineer,廣達集團_雲達科技股份有限公司,5年以上,https://www.104.com.tw/company/1a2x6bihks,https://www.104.com.tw/job/4xkl9?jobsource=jolist_b_relevance
Software Data Engineer,hyve solutions_海峰電腦股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6biwfi,https://www.104.com.tw/job/4kres?jobsource=jolist_b_relevance
機房 Data Center 維運工程師,干城數碼有限公司,2年以上,https://www.104.com.tw/company/1a2x6bk6fu,https://www.104.com.tw/job/6wved?jobsource=jolist_b_relevance
"Sr Software/Data Engineer, Smart MFG & AI",台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),3年以上,https://www.104.com.tw/company/10ww9gpk,https://www.104.com.tw/job/6sqm6?jobsource=jolist_b_relevance
"Software/ Data Engineer, Smart MFG & AI (Taichung or Taoyuan)",台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),2年以上,https://www.104.com.tw/company/10ww9gpk,https://www.104.com.tw/job/6v1ht?jobsource=jolist_b_relevance
工業4.0百人招募專案!!Garmin Asia 製造工程處_Manufacturing Execution System Analyst  _林口,GARMIN_台灣國際航電股份有限公司,2年以上,https://www.104.com.tw/company/at3fhmo,https://www.104.com.tw/job/6r2hq?jobsource=jolist_b_relevance
Global Fixed Asset Analyst (TAO),海盜船科技股份有限公司,5年以上,https://www.104.com.tw/company/cuim4rc,https://www.104.com.tw/job/6whfl?jobsource=jolist_b_relevance
大數據分析工程師（Big Data Analysis engineer）,安智聯科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkzzz,https://www.104.com.tw/job/6xrlh?jobsource=jolist_b_relevance
資料處理工程師（後端，Data engineer）,安智聯科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkzzz,https://www.104.com.tw/job/6qqxm?jobsource=jolist_b_relevance
