職位名稱,公司名稱,工作經歷,公司連結,職位連結,ajax,php,mysql,javascript,jquery,css,linux,shell,python,aws,java,windows server 2012,c#,database management,security,tcp/ip,github,xml,cisco,dhcp,dns,firewall,juniper,load balancing,routers,ms sql,c,c++,perl,asp.net,html,vmware,freebsd,mac os,unix,systems analysis,cgi,go,node.js,google analytics,vpn,windows server 2008,tomcat,unity3d,scala,hadoop,postgresql,spring,excel,powerpoint,word,weblogic,squid,angularjs,android,http,oop,domino,jsp,oracle,objective-c,swift,reactnative,e-commerce,reactjs
PHP工程師,中華麟股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bjtiz,https://www.104.com.tw/job/6fgd0?jobsource=jolist_b_relevance,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
程式設計師-系統開發Team,統一集團_安源資訊股份有限公司,2年以上,https://www.104.com.tw/company/3d75368,https://www.104.com.tw/job/6v613?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS Cloud Support Associate,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6tvuz?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[TapPay] AWS工程師,喬睿科技股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bjxee,https://www.104.com.tw/job/6xur4?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS雲端⼯程師,萬欣網路科技有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkspi,https://www.104.com.tw/job/6s4gj?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS 雲端工程師,數聯資安股份有限公司,1年以上,https://www.104.com.tw/company/cnk0ahs,https://www.104.com.tw/job/6g7c2?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS SRE Engineer,台灣恩悌悌數據股份有限公司,3年以上,https://www.104.com.tw/company/ofrit7k,https://www.104.com.tw/job/6v2cu?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS 後端工程師 Backend Engineer,樂邁利達股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkr3h,https://www.104.com.tw/job/6xgg7?jobsource=jolist_b_relevance,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS Fullstack Engineer,台灣恩悌悌數據股份有限公司,3年以上,https://www.104.com.tw/company/ofrit7k,https://www.104.com.tw/job/6v2db?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevOps工程師 (AWS),美商連科股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bk74i,https://www.104.com.tw/job/6rj9f?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
