職位名稱,公司名稱,工作經歷,公司連結,職位連結,ajax,php,mysql,javascript,jquery,css,linux,shell,python,aws,java,windows server 2012,c#,database management,security,tcp/ip,github,xml,cisco,dhcp,dns,firewall,juniper,load balancing,routers,ms sql,c,c++,perl,asp.net,html,vmware,freebsd,mac os,unix,systems analysis,cgi,go,node.js,google analytics,vpn,windows server 2008,tomcat,unity3d,scala,hadoop,postgresql,spring,excel,powerpoint,word,weblogic,squid,angularjs,android,http,oop,domino,jsp,oracle,objective-c,swift,reactnative,e-commerce,reactjs
"基礎建設工程師 / 網路管理工程師 (Fortinet, Juniper, AWS)",幣昇資訊有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkv10,https://www.104.com.tw/job/6m4wa?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWP4_617_知名軟體公司誠徵Database Engineer (AWS, MS SQL, C#)",Spring Professional_藝珂人事顧問股份有限公司躍科分公司,5年以上,https://www.104.com.tw/company/1a2x6bjw0e,https://www.104.com.tw/job/6xxn9?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python工程師(AWS Lambda),康翔科技股份有限公司,2年以上,https://www.104.com.tw/company/d80h020,https://www.104.com.tw/job/6wble?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS 雲端工程師,辰振工業有限公司,5年以上,https://www.104.com.tw/company/157mdig8,https://www.104.com.tw/job/6nl21?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E110620_.NET PG or SD 開發工程師(RWD+AWS),偉欣資訊有限公司,3年以上,https://www.104.com.tw/company/b63qis8,https://www.104.com.tw/job/6siq6?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL- FMCG 快速消費品產業  電子商務經理 Manager- Commerce (英文精通/管理經驗/AWS技術),新加坡商立可人事顧問有限公司台灣分公司,5年以上,https://www.104.com.tw/company/1a2x6bizrb,https://www.104.com.tw/job/6yjl2?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT系統工程師– IT Infra. Architect,大聯大投資控股股份有限公司,1年以上,https://www.104.com.tw/company/ctvszsw,https://www.104.com.tw/job/6lw7q?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資深/前端工程師,英屬維京群島商博裕科技有限公司台灣分公司,3年以上,https://www.104.com.tw/company/1a2x6bjzq0,https://www.104.com.tw/job/6uggl?jobsource=jolist_b_relevance,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(RR)AWS雲端軟體研發工程師-南港,神準科技股份有限公司,不拘,https://www.104.com.tw/company/d3a2s9k,https://www.104.com.tw/job/6ojg2?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA-雲端架構師(知名金融業/AWS/待遇優),新加坡商立可人事顧問有限公司台灣分公司,4年以上,https://www.104.com.tw/company/1a2x6bizrb,https://www.104.com.tw/job/6xtep?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
System Engineer / Cloud,堯晉科技有限公司,1年以上,https://www.104.com.tw/company/1a2x6bl2tn,https://www.104.com.tw/job/6tdri?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雲端系統工程師,大牛科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkw89,https://www.104.com.tw/job/6xq7n?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Engineer - Site Reliability Engineer,英屬開曼群島商庫幣科技有限公司台灣分公司,2年以上,https://www.104.com.tw/company/1a2x6bk7qt,https://www.104.com.tw/job/6r2pf?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iFit ECFIT_雲端系統工程師,艾絲資訊股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bit81,https://www.104.com.tw/job/6j7gt?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【台中/台北】 AWS/DevOps/MIS Engineer (月薪6-8萬)系統開發營運工程師,兆洋資訊股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bicqu,https://www.104.com.tw/job/5nahb?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT系統工程師– IT Infra. Operator,大聯大投資控股股份有限公司,1年以上,https://www.104.com.tw/company/ctvszsw,https://www.104.com.tw/job/6lw89?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solutions Architect - Cloud,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,6年以上,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6xiun?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[RD] 運維工程師--組織擴編,天堂遊戲有限公司,2年以上,https://www.104.com.tw/company/1a2x6bjprf,https://www.104.com.tw/job/4zdka?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Support Engineer - Developer and Mobile Services,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6yjx6?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雲端運維工程師,大牛科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkw89,https://www.104.com.tw/job/6oezw?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Support Engineer – Networking,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,5年以上,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6kiqz?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
系統維運工程師 (System Engineer),海碩集團_海駿股份有限公司,3年以上,https://www.104.com.tw/company/18lnp9zs,https://www.104.com.tw/job/6t1ht?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Development Manager,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6xl9c?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資深後端工程師,恆為科技有限公司,8年以上,https://www.104.com.tw/company/1a2x6bkyst,https://www.104.com.tw/job/6v2hm?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Node JS/ GO資深後端工程師(美國日本數字證券交易平台)-台北總處,平安房屋仲介股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bkcyc,https://www.104.com.tw/job/6maf9?jobsource=jolist_b_relevance,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unity 程式開發核心團隊,英屬維京群島商暟能世紀有限公司台灣分公司,3年以上,https://www.104.com.tw/company/1a2x6bkfox,https://www.104.com.tw/job/6yaon?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Support Associate Intern,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6tvvr?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Development Manager - Analytics,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6v7s4?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[KKStream] Data Engineer,願境網訊股份有限公司_KKBOX,不拘,https://www.104.com.tw/company/wca2vdk,https://www.104.com.tw/job/630wy?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
系統運維工程師：最新技術等你來,奇點數位科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkgc8,https://www.104.com.tw/job/6lyq4?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDM-Taiwan,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6xtoy?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevOps Engineer/DevOps 工程師,奕兆有限公司,1年以上,https://www.104.com.tw/company/1a2x6bk1cm,https://www.104.com.tw/job/660bm?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. System Engineer 資深雲端系統工程師,盈德網絡服務有限公司,5年以上,https://www.104.com.tw/company/1a2x6bim8y,https://www.104.com.tw/job/6xnvp?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRE/系統工程師 (月薪65K~120K),趣遊科技有限公司,5年以上,https://www.104.com.tw/company/1a2x6bkepf,https://www.104.com.tw/job/6dtgi?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
後端程式設計師,非凡電視台_飛凡傳播股份有限公司,3年以上,https://www.104.com.tw/company/130q4r7c,https://www.104.com.tw/job/6hjyz?jobsource=jolist_b_relevance,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS系統工程師,聖勝科技有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl2uf,https://www.104.com.tw/job/6x09v?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Backend/DevOps Engineer 資深後端工程師,Tomofun_友愉股份有限公司,5年以上,https://www.104.com.tw/company/1a2x6bj1nc,https://www.104.com.tw/job/4jwwz?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【Eatgether】Golang後端工程師(Golang Back-end Developer),食我網路股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bis2k,https://www.104.com.tw/job/4iyuf?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
軟體應用工程師(IoT Application/Platform Developer),緯創集團_緯昌科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bic9a,https://www.104.com.tw/job/6u9tz?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
軟體應用工程師(Cloud Application Developer),緯創集團_緯昌科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bic9a,https://www.104.com.tw/job/6u9tr?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
網路維運管理師,新商豪華有限公司,3年以上,https://www.104.com.tw/company/1a2x6bl4wl,https://www.104.com.tw/job/6wi2d?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS- 桃園電商大廠DevOps 雲端平台工程師,艾肯國際開發有限公司,不拘,https://www.104.com.tw/company/1a2x6bj03f,https://www.104.com.tw/job/6xsw8?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux系統工程師,全球遊戲科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkuwg,https://www.104.com.tw/job/6qgo8?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(電商平台_APP)敏捷式專案經理 / 台北 外商日用消費品公司,萬豐人力資源管理顧問有限公司,5年以上,https://www.104.com.tw/company/1a2x6bjwm5,https://www.104.com.tw/job/6r7or?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevOps 雲端平台工程師（台北）,lativ＿米格國際股份有限公司,不拘,https://www.104.com.tw/company/7gfa1kg,https://www.104.com.tw/job/6i0a4?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Startup BD Intern,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6xvl3?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LE-桃園知名成衣廠商 誠徵DevOps 雲端平台工程師,艾肯國際開發有限公司,不拘,https://www.104.com.tw/company/1a2x6bj03f,https://www.104.com.tw/job/6xsy7?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud軟體工程師 (月薪10萬-20萬）,美商視龍有限公司台灣分公司,不拘,https://www.104.com.tw/company/1a2x6bj31u,https://www.104.com.tw/job/4d1wo?jobsource=jolist_b_relevance,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mysql DBA,聖勝科技有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl2uf,https://www.104.com.tw/job/6y25z?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
