職位名稱,公司名稱,工作經歷,公司連結,職位連結,excel,powerpoint,word
Commercial Effectiveness Lead (商務營運效能經理),輝瑞大藥廠股份有限公司,3年以上,https://www.104.com.tw/company/h37que8,https://www.104.com.tw/job/6wfz9?jobsource=jolist_b_relevance,0,0,0
Country Brand Lead -I&I (品牌經理),輝瑞大藥廠股份有限公司,5年以上,https://www.104.com.tw/company/h37que8,https://www.104.com.tw/job/6wtav?jobsource=jolist_b_relevance,0,0,0
產品經理(PM),台灣安斯泰來製藥股份有限公司,2年以上,https://www.104.com.tw/company/5h4kdow,https://www.104.com.tw/job/6obs5?jobsource=jolist_b_relevance,1,1,1
【台灣默克】Junior Regulatory Affairs Specialist (台北內湖),怡東人事顧問股份有限公司,3年以上,https://www.104.com.tw/company/webvtu8,https://www.104.com.tw/job/6w6by?jobsource=jolist_b_relevance,1,0,1
eCommerce Regional Manager - APAC,香港商邁世國際有限公司台灣分公司,5年以上,https://www.104.com.tw/company/1a2x6bkdsy,https://www.104.com.tw/job/6w9z4?jobsource=jolist_b_relevance,0,0,0
Product Operations 產品運營企劃/產品經理,經遠科技股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bjtca,https://www.104.com.tw/job/626s2?jobsource=jolist_b_relevance,0,0,0
"Sales Force Effectiveness Manager, TW & HK",賽諾菲股份有限公司,5年以上,https://www.104.com.tw/company/18mzj3c0,https://www.104.com.tw/job/6yigo?jobsource=jolist_b_relevance,1,0,0
法規專員 Regulatory Affairs Specialist (地點：南投),美時化學製藥股份有限公司,2年以上,https://www.104.com.tw/company/59go71s,https://www.104.com.tw/job/5hzif?jobsource=jolist_b_relevance,0,0,0
