職位名稱,公司名稱,工作經歷,公司連結,職位連結,android,c,c#,c++,java,python,matlab,javascript,linux,excel,word,pro*c,visual basic,visual c#,visual c++,sas,pl/sql,hadoop,sna,hive,r,ms sql,ansi sql,asp.net,powerpoint,after effects,rhino,unity3d,adobe photoshop,illustrator,revit,sketch up,oop,ajax,visual studio .net,xml web services,jquery,scala,power bi,mysql,c++.net,outlook,shell,oracle,jsf,jsp,spring,windows server 2008,windows server 2012,postgresql,vba,中文打字50~75,ios,objective-c,swift,spss,google analytics,aws,github,etl,go,visio,j2ee,sap,django,php,tableau,html,ooad,systems analysis,uml,unix,case,data architect,data marts,vm,database administrator,data modeling,rdbms,autocad,eda,fpga,rtl,verilog,windows 10,cisco,windows 2000,windows 2003,中文打字20~50,英文打字20~50,windows xp,windows 8,adobe acrobat,internet explorer,中文打字75~100,英文打字50~75,英文打字100~125,xmind,flash,windows 7,stl,premiere,web master/developer,node.js,mfc,visual studio,cognos,datastage,css,vpn,microsoft exchange,vmware,project,aix,kotlin
機器學習工程師,玉山銀行_玉山商業銀行股份有限公司,不拘,https://www.104.com.tw/company/13quahyo,https://www.104.com.tw/job/6dtcl?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機器學習資安應用技術工程師,中華資安國際股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bkbsb,https://www.104.com.tw/job/60n64?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(智能金融處)機器學習平台工程師,玉山銀行_玉山商業銀行股份有限公司,不拘,https://www.104.com.tw/company/13quahyo,https://www.104.com.tw/job/6rp6s?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機器學習工程師,地心引力股份有限公司,不拘,https://www.104.com.tw/company/5xbdda0,https://www.104.com.tw/job/6wj1r?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(智能金融處)機器學習平台(精英)工程師,玉山銀行_玉山商業銀行股份有限公司,3年以上,https://www.104.com.tw/company/13quahyo,https://www.104.com.tw/job/6rp6t?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RD20281 巨量資料及機器學習研發工程師,華碩電腦股份有限公司,1年以上,https://www.104.com.tw/company/auxx12g,https://www.104.com.tw/job/4kd6o?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機器學習技術專家 (Machine Learning),竹間智能科技有限公司,2年以上,https://www.104.com.tw/company/1a2x6bjgac,https://www.104.com.tw/job/4tswy?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機器學習與人工智慧研發工程師,伍碩科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bkk5y,https://www.104.com.tw/job/6purq?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北區-AI講師(機器學習、深度學習、自然語意、影像辨識...),聯成電腦有限公司(聯成電腦/聯成美語),1年以上,https://www.104.com.tw/company/13kmziew,https://www.104.com.tw/job/6o2d3?jobsource=jolist_b_relevance,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"軟體研發工程師 (人工智慧, 機器學習, 語意分析)",意藍資訊股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjjlo,https://www.104.com.tw/job/4w22r?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
