產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,
車載事業群_軟體開發工程師 (自動化測試平台)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Experiences of Windows desktop application development, Experiences of IPC (Inter-process-communication) programming, Experiences of automated GUI test, Knowledge of data structure / algorithm, Object-Oriented Programming in C/C++/Java/C#, Fluent English oral and written skill, Good teamwork ability, Version control: Git
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,
車載事業群_軟體開發工程師 (自動化測試平台)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Experiences of Windows desktop application development, Experiences of IPC (Inter-process-communication) programming, Experiences of automated GUI test, Knowledge of data structure / algorithm, Object-Oriented Programming in C/C++/Java/C#, Fluent English oral and written skill, Good teamwork ability, Version control: Git
Quality PM - J0626,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Knowledge of product AFR calculation and RMA Process, Logically and ability on data analysis, BS degree or above on statistics EE ME or SW related, Fluent in English (TOEIC 700+) , Basic knowledge of Android AP/CP,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,
車載事業群_軟體開發工程師 (自動化測試平台)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Experiences of Windows desktop application development, Experiences of IPC (Inter-process-communication) programming, Experiences of automated GUI test, Knowledge of data structure / algorithm, Object-Oriented Programming in C/C++/Java/C#, Fluent English oral and written skill, Good teamwork ability, Version control: Git
Quality PM - J0626,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Knowledge of product AFR calculation and RMA Process, Logically and ability on data analysis, BS degree or above on statistics EE ME or SW related, Fluent in English (TOEIC 700+) , Basic knowledge of Android AP/CP,,,
MES工程師,精材科技股份有限公司,https://www.104.com.tw/company/7ovnv1s,1年以上,. Experience in MES (Manufacturing Execution System)or semiconductor equipment automation Developing and Maintenanceat least one year., Oracle Database Development at least 1 year., Programming Language: VB(.NET) PL/SQL Java JS,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,
