Product Manager-(I.APP SW PM) ,Advantech_研華股份有限公司,https://www.104.com.tw/company/2d9ntmw,3年以上, 3年以上數據應用APP研發相關背景, 熟悉ML/DL相關平台框架, 對於AI與數據分析有高度熱忱,,,,,,,,,,,,,
DE-Quote PM,鴻佰科技股份有限公司,https://www.104.com.tw/company/5z4kla0,不拘, University degree or above, Experience with cost analysis financial audit and data analysis, Experience in Sales Quote Project Management in server / storage industry is a plus, Familiar with enterprise electronics manufacturing process is a plus, Willing to take challenges good communication skills Good with Microsoft Excel is a plus.,,,,,,,,,,,
車載事業群_軟體工程師 (Product)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,1年以上, Basic Requirements:,Preferred Requirements if any:,,,,,,,,,,,,,,
IE工程師-龍潭廠.,艾克爾國際科技股份有限公司,https://www.104.com.tw/company/7n22a2o,不拘,Fluency in English speaking listening and writing.,Good communication skills teamwork spirit and learning attitude.,,,,,,,,,,,,,,
IDL-EE Sourcer 電子零件策略採購,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,5年以上, Coordination experience is prefered., Ability to perform under pressure in meeting deadlines., Ability to focus/prioritize on multiple opportunities at one time., Good at communication.,,,,,,,,,,,,
工程-工程技術工程師,台耀化學股份有限公司,https://www.104.com.tw/company/18ix85rk,2年以上, 具化工廠製程方法設計經驗, 具化工廠製程/設備放大設計經驗, 具化工廠建廠經驗, 具化工製程/設備評估能力,,,,,,,,,,,,
衛生福利部桃園醫院企劃中心資訊研發組約用高級資訊師14名,衛生福利部桃園醫院(人事室),https://www.104.com.tw/company/k4rca35,不拘,具資工、資管、醫療資訊相關科系畢業或具程式開發經驗職務經驗2年以上。,具醫院或醫療資訊行業經驗尤佳。,,,,,,,,,,,,,,
IDL-ME Sourcer 機構件策略採購,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,5年以上, Ability to perform under pressure in meeting deadlines., Ability to focus/prioritize on multiple opportunities at one time., Good at communication., Solid ME parts purchasing experience.,,,,,,,,,,,,
SMT 錫爐工程師(八德廠),肯微科技股份有限公司,https://www.104.com.tw/company/cly5g8o,3年以上, 具選焊爐工作經驗者佳, 需配合加班,,,,,,,,,,,,,,
SMT設備工程師(八德廠),肯微科技股份有限公司,https://www.104.com.tw/company/cly5g8o,3年以上, 具插件機工作經驗者佳., 熟悉Fuji設備(NXT) 或有其他廠牌設備實務經驗., 需配合加班.,,,,,,,,,,,,,
品管處 品管員,安成國際藥業股份有限公司,https://www.104.com.tw/company/7hbmhbk,不拘,合群、積極進取,能配合加班者佳,具HPLC、GC及溶出儀操作經驗者佳,有藥廠品管經驗佳,薪資依應徵者學經歷條件不同調整核定。,,,,,,,,,,,
雲端應用伺服器前端軟體開發設計工程師/專員  J1896,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Bachelor's degree in Computer Science Electrical Engineering or relevant technical field., Experienced in HTML/CSS/JavaScript/TypeScript., Experienced in Angular., Experienced in D3.js or other data visualization tools., Experienced in website architecture design., Three years practical experiences in back-end software engineering is a plus., With mature English ability (toeic 500+).,,,,,,,,,
Worldwide support 系統整合與應用專員 - J1192,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Familiar with the business analysis process., Good communication skill across functional team., Having positive thinking and being logical willing to work proactively and effectively., Familiar with excel power query/power pivot would be preferred., Business or Information system background is plus., Good English communication skills.(toeic 750+),,,,,,,,,,
Worldwide support 系統整合與應用 - J1713,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Familiar with the business analysis process., Good communication skill across functional team., Having positive thinking and being logical willing to work proactively and effectively., Familiar with excel power query/power pivot would be preferred., Business or Information system background is plus., Good English communication skills.(toeic 750+),,,,,,,,,,
車載事業群_產品維護軟體工程師_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Master of Science degree in Computer Science Computer Engineering Electrical Engineering or Math OR equivalent education background and experiences. , Passion for product and quality. , Git , C/C++/Java , Software requirement document , Software architecture document , Software detailed design document , Unit test design document ,Trouble shooting; Quick response to problems. ,Knowledge in data structure / algorithms / operating systems. ,Experienced in Android/Linux platforms. ,Experienced in Open Source development. ,Experienced in automotive software development. ,Experienced in infotainment system development. . ,Communication skill between teams and customers,TOEIC 650+
Production Quality Engineer 製程品保工程師 -TC19464,"Super Micro Computer, Inc._美超微電腦股份有限公司",https://www.104.com.tw/company/5uisvbc,不拘,Education: MSEE MSME ,Strong background and experience with PCBA process,Experience in computer/storage server or data center industry will be a plus,Enthusiastic creative and persistent to serve the company,Business level skills in English,Computer skill: Windows and Office,,,,,,,,,,
軟體大園_AI工程師/資深工程師/課級主管,陽程科技股份有限公司,https://www.104.com.tw/company/gk74sog,不拘,熟悉程式語言 Python開發 神經網路,熟悉一種以上的機器學習套件 Tensorflow/Pytorch… , 具備自我學習新技術能力,,,,,,,,,,,,,
雲端高速網路Switch軟體研發專員/主管 - J1071,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Good attitude in research problem-solving and team work. , Programming skills with C languages is a must., Good at English communication reading and writing. TOEIC 500+ is a must., Experience with networking design and development is preferred. , Experience with script programming (python ruby) is a plus., 3+ years or above networking or server related experience.,,,,,,,,,,
Dynamic Motion-Sensory Engineer 體感工程師,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,不拘, 擁有汽修丙級以上或擁有機車、汽車修理相關經驗為佳, 機械、汽機車相關科系為佳, 持有ARTC試車場駕駛證照C級為佳, 必須有英文基本讀寫能力, 溝通與表達能力佳, 具有小型汽車(或更高階)及大型重機駕照, 有試車經驗者為優先,,,,,,,,,
雲端高速網路Switch軟體研發 - J1604,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Good attitude in research problem-solving and team work. , Programming skills with C languages is a must., Good at English communication reading and writing. TOEIC 500+ is a must., Experience with networking design and development is preferred. , Experience with script programming (python ruby) is a plus.,,,,,,,,,,,
雲端應用伺服器Quality Manager - J1117,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Engineering background or management experiences would be preferred., With good English competency in 4 skills Toeic 750+., Good communication skill; ability to coordinate team work. , Willing to work proactively and effectively., Long trip and frequent Business trip are available, 3+ years or above quality related experiences. ,,,,,,,,,,
【平鎮】PCB品保部-切片測試人員(固定班/月休十天),健鼎科技股份有限公司,https://www.104.com.tw/company/13ok8whk,不拘,有切片及阻抗經驗優先錄用,請先投遞履歷，主管審查後會主動聯繫面試時間,想進一步了解職缺訊息可來電詢問,,,,,,,,,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,,,,,,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,,,,,,,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,,,,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,,,,,,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,,,,,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,,,,,,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,,,,,,,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,,,,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,,,,,,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,,,,,,,,,
車載事業群_軟體開發工程師 (自動化測試平台)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Experiences of Windows desktop application development, Experiences of IPC (Inter-process-communication) programming, Experiences of automated GUI test, Knowledge of data structure / algorithm, Object-Oriented Programming in C/C++/Java/C#, Fluent English oral and written skill, Good teamwork ability, Version control: Git,,,,,,,,
Quality PM - J0626,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Knowledge of product AFR calculation and RMA Process, Logically and ability on data analysis, BS degree or above on statistics EE ME or SW related, Fluent in English (TOEIC 700+) , Basic knowledge of Android AP/CP,,,,,,,,,,,
MES工程師,精材科技股份有限公司,https://www.104.com.tw/company/7ovnv1s,1年以上,. Experience in MES (Manufacturing Execution System)or semiconductor equipment automation Developing and Maintenanceat least one year., Oracle Database Development at least 1 year., Programming Language: VB(.NET) PL/SQL Java JS,,,,,,,,,,,,,
Sr. Test Automation Engineer_Linkou,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,不拘, Experience on using Python to design automation tools., Experience in test automation using tools Selenium(web)  Appium(Android/iOS) and Robot Framework., Experience testing and developing automated testing of UIs APIs databases and backend services, Flexible to switch between Manual Testing and Test Automation depending on the demand of the project, Demonstrated ability to work in a deadline-driven environment. , Must be able to work with no supervision., Basic knowledge in SQL (ability to extract data write complex SQL queries and manipulate data for testing purposes), Ability to explain issues and concepts either verbally or in writing in English.,,,,,,,,
Product Manager-(I.APP SW PM) ,Advantech_研華股份有限公司,https://www.104.com.tw/company/2d9ntmw,3年以上, 3年以上數據應用APP研發相關背景, 熟悉ML/DL相關平台框架, 對於AI與數據分析有高度熱忱,,,,,,,,,,,,,
DE-Quote PM,鴻佰科技股份有限公司,https://www.104.com.tw/company/5z4kla0,不拘, University degree or above, Experience with cost analysis financial audit and data analysis, Experience in Sales Quote Project Management in server / storage industry is a plus, Familiar with enterprise electronics manufacturing process is a plus, Willing to take challenges good communication skills Good with Microsoft Excel is a plus.,,,,,,,,,,,
車載事業群_軟體工程師 (Product)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,1年以上, Basic Requirements:,Preferred Requirements if any:,,,,,,,,,,,,,,
IE工程師-龍潭廠.,艾克爾國際科技股份有限公司,https://www.104.com.tw/company/7n22a2o,不拘,Fluency in English speaking listening and writing.,Good communication skills teamwork spirit and learning attitude.,,,,,,,,,,,,,,
IDL-EE Sourcer 電子零件策略採購,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,5年以上, Coordination experience is prefered., Ability to perform under pressure in meeting deadlines., Ability to focus/prioritize on multiple opportunities at one time., Good at communication.,,,,,,,,,,,,
工程-工程技術工程師,台耀化學股份有限公司,https://www.104.com.tw/company/18ix85rk,2年以上, 具化工廠製程方法設計經驗, 具化工廠製程/設備放大設計經驗, 具化工廠建廠經驗, 具化工製程/設備評估能力,,,,,,,,,,,,
衛生福利部桃園醫院企劃中心資訊研發組約用高級資訊師14名,衛生福利部桃園醫院(人事室),https://www.104.com.tw/company/k4rca35,不拘,具資工、資管、醫療資訊相關科系畢業或具程式開發經驗職務經驗2年以上。,具醫院或醫療資訊行業經驗尤佳。,,,,,,,,,,,,,,
IDL-ME Sourcer 機構件策略採購,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,5年以上, Ability to perform under pressure in meeting deadlines., Ability to focus/prioritize on multiple opportunities at one time., Good at communication., Solid ME parts purchasing experience.,,,,,,,,,,,,
SMT 錫爐工程師(八德廠),肯微科技股份有限公司,https://www.104.com.tw/company/cly5g8o,3年以上, 具選焊爐工作經驗者佳, 需配合加班,,,,,,,,,,,,,,
SMT設備工程師(八德廠),肯微科技股份有限公司,https://www.104.com.tw/company/cly5g8o,3年以上, 具插件機工作經驗者佳., 熟悉Fuji設備(NXT) 或有其他廠牌設備實務經驗., 需配合加班.,,,,,,,,,,,,,
品管處 品管員,安成國際藥業股份有限公司,https://www.104.com.tw/company/7hbmhbk,不拘,合群、積極進取,能配合加班者佳,具HPLC、GC及溶出儀操作經驗者佳,有藥廠品管經驗佳,薪資依應徵者學經歷條件不同調整核定。,,,,,,,,,,,
雲端應用伺服器前端軟體開發設計工程師/專員  J1896,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Bachelor's degree in Computer Science Electrical Engineering or relevant technical field., Experienced in HTML/CSS/JavaScript/TypeScript., Experienced in Angular., Experienced in D3.js or other data visualization tools., Experienced in website architecture design., Three years practical experiences in back-end software engineering is a plus., With mature English ability (toeic 500+).,,,,,,,,,
Worldwide support 系統整合與應用專員 - J1192,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Familiar with the business analysis process., Good communication skill across functional team., Having positive thinking and being logical willing to work proactively and effectively., Familiar with excel power query/power pivot would be preferred., Business or Information system background is plus., Good English communication skills.(toeic 750+),,,,,,,,,,
Worldwide support 系統整合與應用 - J1713,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Familiar with the business analysis process., Good communication skill across functional team., Having positive thinking and being logical willing to work proactively and effectively., Familiar with excel power query/power pivot would be preferred., Business or Information system background is plus., Good English communication skills.(toeic 750+),,,,,,,,,,
車載事業群_產品維護軟體工程師_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Master of Science degree in Computer Science Computer Engineering Electrical Engineering or Math OR equivalent education background and experiences. , Passion for product and quality. , Git , C/C++/Java , Software requirement document , Software architecture document , Software detailed design document , Unit test design document ,Trouble shooting; Quick response to problems. ,Knowledge in data structure / algorithms / operating systems. ,Experienced in Android/Linux platforms. ,Experienced in Open Source development. ,Experienced in automotive software development. ,Experienced in infotainment system development. . ,Communication skill between teams and customers,TOEIC 650+
Production Quality Engineer 製程品保工程師 -TC19464,"Super Micro Computer, Inc._美超微電腦股份有限公司",https://www.104.com.tw/company/5uisvbc,不拘,Education: MSEE MSME ,Strong background and experience with PCBA process,Experience in computer/storage server or data center industry will be a plus,Enthusiastic creative and persistent to serve the company,Business level skills in English,Computer skill: Windows and Office,,,,,,,,,,
軟體大園_AI工程師/資深工程師/課級主管,陽程科技股份有限公司,https://www.104.com.tw/company/gk74sog,不拘,熟悉程式語言 Python開發 神經網路,熟悉一種以上的機器學習套件 Tensorflow/Pytorch… , 具備自我學習新技術能力,,,,,,,,,,,,,
雲端高速網路Switch軟體研發專員/主管 - J1071,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Good attitude in research problem-solving and team work. , Programming skills with C languages is a must., Good at English communication reading and writing. TOEIC 500+ is a must., Experience with networking design and development is preferred. , Experience with script programming (python ruby) is a plus., 3+ years or above networking or server related experience.,,,,,,,,,,
Dynamic Motion-Sensory Engineer 體感工程師,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,不拘, 擁有汽修丙級以上或擁有機車、汽車修理相關經驗為佳, 機械、汽機車相關科系為佳, 持有ARTC試車場駕駛證照C級為佳, 必須有英文基本讀寫能力, 溝通與表達能力佳, 具有小型汽車(或更高階)及大型重機駕照, 有試車經驗者為優先,,,,,,,,,
雲端高速網路Switch軟體研發 - J1604,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Good attitude in research problem-solving and team work. , Programming skills with C languages is a must., Good at English communication reading and writing. TOEIC 500+ is a must., Experience with networking design and development is preferred. , Experience with script programming (python ruby) is a plus.,,,,,,,,,,,
雲端應用伺服器Quality Manager - J1117,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Engineering background or management experiences would be preferred., With good English competency in 4 skills Toeic 750+., Good communication skill; ability to coordinate team work. , Willing to work proactively and effectively., Long trip and frequent Business trip are available, 3+ years or above quality related experiences. ,,,,,,,,,,
【平鎮】PCB品保部-切片測試人員(固定班/月休十天),健鼎科技股份有限公司,https://www.104.com.tw/company/13ok8whk,不拘,有切片及阻抗經驗優先錄用,請先投遞履歷，主管審查後會主動聯繫面試時間,想進一步了解職缺訊息可來電詢問,,,,,,,,,,,,,
AI工程師(資料分析),南亞電路板股份有限公司(南電),https://www.104.com.tw/company/7e7mdgg,2年以上, 以上學歷需為大學(含)以上日間部畢 , 具 PCB 相關製程經驗者尤佳, 具外語能力證照者如TOEIC、TOEFL、全民英檢或日語檢定級數者，請於面試當日一併提供語文證明文件正本,良好團隊合作與溝通協調能力。,面試時應屆畢業生請提供相關專題或論文簡介(曾參與產學合作或競賽亦可提供)，另請附上成績單。,有工作經驗者請簡述前份工作內容或提供相關作品簡介。,具AI專題或一年以上AI相關工作經驗者尤佳。,具相關行業經歷者請面試當日一併提供工作經驗證明。,,,,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,,,,,,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,,,,,,,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,,,,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,,,,,,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,,,,,,,,,
產品工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 三年以上，塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗,,,,,,,,,,,,
產品助理工程師-宜蘭,崇仁科技事業股份有限公司,https://www.104.com.tw/company/a950j9s,3年以上, 塑膠模具開發之結構設計相關經驗, 機械/醫學工程背景, 產品開發PM經驗 , 醫療相關產業經驗, 具醫材相關產品經驗1年以上,,,,,,,,,,,
宜蘭冬山廠生技/製程工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有電子電機與機械相關學歷或經驗佳, 2個月新人教育訓練，考核通過薪資會再調整之,,,,,,,,,,,,,,
宜蘭實驗室助理工程師/測試工程師,陽鼎實業股份有限公司,https://www.104.com.tw/company/aryuvu8,不拘,有機械或工程相關學歷或經驗佳,3個月新人教育訓練，考核通過薪資會再調整之,另採時薪制之在校實習生亦可,如有熱流背景待遇佳,,,,,,,,,,,,
機械工程師(儲備幹部),詠創精密股份有限公司,https://www.104.com.tw/company/b6pwkq0,2年以上,具板金拆圖工作經驗尤佳,熟機械加工、冷作等尤佳,有設計整台機械設計開發經驗且能獨立作業者尤佳,,,,,,,,,,,,,
車載事業群_軟體開發工程師 (自動化測試平台)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Experiences of Windows desktop application development, Experiences of IPC (Inter-process-communication) programming, Experiences of automated GUI test, Knowledge of data structure / algorithm, Object-Oriented Programming in C/C++/Java/C#, Fluent English oral and written skill, Good teamwork ability, Version control: Git,,,,,,,,
Quality PM - J0626,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Knowledge of product AFR calculation and RMA Process, Logically and ability on data analysis, BS degree or above on statistics EE ME or SW related, Fluent in English (TOEIC 700+) , Basic knowledge of Android AP/CP,,,,,,,,,,,
MES工程師,精材科技股份有限公司,https://www.104.com.tw/company/7ovnv1s,1年以上,. Experience in MES (Manufacturing Execution System)or semiconductor equipment automation Developing and Maintenanceat least one year., Oracle Database Development at least 1 year., Programming Language: VB(.NET) PL/SQL Java JS,,,,,,,,,,,,,
Sr. Test Automation Engineer_Linkou,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,不拘, Experience on using Python to design automation tools., Experience in test automation using tools Selenium(web)  Appium(Android/iOS) and Robot Framework., Experience testing and developing automated testing of UIs APIs databases and backend services, Flexible to switch between Manual Testing and Test Automation depending on the demand of the project, Demonstrated ability to work in a deadline-driven environment. , Must be able to work with no supervision., Basic knowledge in SQL (ability to extract data write complex SQL queries and manipulate data for testing purposes), Ability to explain issues and concepts either verbally or in writing in English.,,,,,,,,
Product Manager-(I.APP SW PM) ,Advantech_研華股份有限公司,https://www.104.com.tw/company/2d9ntmw,3年以上, 3年以上數據應用APP研發相關背景, 熟悉ML/DL相關平台框架, 對於AI與數據分析有高度熱忱,,,,,,,,,,,,,
DE-Quote PM,鴻佰科技股份有限公司,https://www.104.com.tw/company/5z4kla0,不拘, University degree or above, Experience with cost analysis financial audit and data analysis, Experience in Sales Quote Project Management in server / storage industry is a plus, Familiar with enterprise electronics manufacturing process is a plus, Willing to take challenges good communication skills Good with Microsoft Excel is a plus.,,,,,,,,,,,
車載事業群_軟體工程師 (Product)_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,1年以上, Basic Requirements:,Preferred Requirements if any:,,,,,,,,,,,,,,
IE工程師-龍潭廠.,艾克爾國際科技股份有限公司,https://www.104.com.tw/company/7n22a2o,不拘,Fluency in English speaking listening and writing.,Good communication skills teamwork spirit and learning attitude.,,,,,,,,,,,,,,
IDL-EE Sourcer 電子零件策略採購,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,5年以上, Coordination experience is prefered., Ability to perform under pressure in meeting deadlines., Ability to focus/prioritize on multiple opportunities at one time., Good at communication.,,,,,,,,,,,,
工程-工程技術工程師,台耀化學股份有限公司,https://www.104.com.tw/company/18ix85rk,2年以上, 具化工廠製程方法設計經驗, 具化工廠製程/設備放大設計經驗, 具化工廠建廠經驗, 具化工製程/設備評估能力,,,,,,,,,,,,
衛生福利部桃園醫院企劃中心資訊研發組約用高級資訊師14名,衛生福利部桃園醫院(人事室),https://www.104.com.tw/company/k4rca35,不拘,具資工、資管、醫療資訊相關科系畢業或具程式開發經驗職務經驗2年以上。,具醫院或醫療資訊行業經驗尤佳。,,,,,,,,,,,,,,
IDL-ME Sourcer 機構件策略採購,Gogoro Taiwan Limited_睿能創意股份有限公司,https://www.104.com.tw/company/ojonwyo,5年以上, Ability to perform under pressure in meeting deadlines., Ability to focus/prioritize on multiple opportunities at one time., Good at communication., Solid ME parts purchasing experience.,,,,,,,,,,,,
SMT 錫爐工程師(八德廠),肯微科技股份有限公司,https://www.104.com.tw/company/cly5g8o,3年以上, 具選焊爐工作經驗者佳, 需配合加班,,,,,,,,,,,,,,
SMT設備工程師(八德廠),肯微科技股份有限公司,https://www.104.com.tw/company/cly5g8o,3年以上, 具插件機工作經驗者佳., 熟悉Fuji設備(NXT) 或有其他廠牌設備實務經驗., 需配合加班.,,,,,,,,,,,,,
品管處 品管員,安成國際藥業股份有限公司,https://www.104.com.tw/company/7hbmhbk,不拘,合群、積極進取,能配合加班者佳,具HPLC、GC及溶出儀操作經驗者佳,有藥廠品管經驗佳,薪資依應徵者學經歷條件不同調整核定。,,,,,,,,,,,
雲端應用伺服器前端軟體開發設計工程師/專員  J1896,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Bachelor's degree in Computer Science Electrical Engineering or relevant technical field., Experienced in HTML/CSS/JavaScript/TypeScript., Experienced in Angular., Experienced in D3.js or other data visualization tools., Experienced in website architecture design., Three years practical experiences in back-end software engineering is a plus., With mature English ability (toeic 500+).,,,,,,,,,
Worldwide support 系統整合與應用專員 - J1192,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Familiar with the business analysis process., Good communication skill across functional team., Having positive thinking and being logical willing to work proactively and effectively., Familiar with excel power query/power pivot would be preferred., Business or Information system background is plus., Good English communication skills.(toeic 750+),,,,,,,,,,
Worldwide support 系統整合與應用 - J1713,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,不拘, Familiar with the business analysis process., Good communication skill across functional team., Having positive thinking and being logical willing to work proactively and effectively., Familiar with excel power query/power pivot would be preferred., Business or Information system background is plus., Good English communication skills.(toeic 750+),,,,,,,,,,
車載事業群_產品維護軟體工程師_林口,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo,不拘, Master of Science degree in Computer Science Computer Engineering Electrical Engineering or Math OR equivalent education background and experiences. , Passion for product and quality. , Git , C/C++/Java , Software requirement document , Software architecture document , Software detailed design document , Unit test design document ,Trouble shooting; Quick response to problems. ,Knowledge in data structure / algorithms / operating systems. ,Experienced in Android/Linux platforms. ,Experienced in Open Source development. ,Experienced in automotive software development. ,Experienced in infotainment system development. . ,Communication skill between teams and customers,TOEIC 650+
Production Quality Engineer 製程品保工程師 -TC19464,"Super Micro Computer, Inc._美超微電腦股份有限公司",https://www.104.com.tw/company/5uisvbc,不拘,Education: MSEE MSME ,Strong background and experience with PCBA process,Experience in computer/storage server or data center industry will be a plus,Enthusiastic creative and persistent to serve the company,Business level skills in English,Computer skill: Windows and Office,,,,,,,,,,
軟體大園_AI工程師/資深工程師/課級主管,陽程科技股份有限公司,https://www.104.com.tw/company/gk74sog,不拘,熟悉程式語言 Python開發 神經網路,熟悉一種以上的機器學習套件 Tensorflow/Pytorch… , 具備自我學習新技術能力,,,,,,,,,,,,,
雲端高速網路Switch軟體研發專員/主管 - J1071,廣達電腦股份有限公司,https://www.104.com.tw/company/ahfsoq0,3年以上, Good attitude in research problem-solving and team work. , Programming skills with C languages is a must., Good at English communication reading and writing. TOEIC 500+ is a must., Experience with networking design and development is preferred. , Experience with script programming (python ruby) is a plus., 3+ years or above networking or server related experience.,,,,,,,,,,
