職位名稱,公司名稱,工作經歷,公司連結,職位連結,asp.net,c#,visual studio .net,winform,ms sql,html,javascript,xml,jquery,systems analysis,github,java,python,go,scala,data modeling,r,mysql,tableau,power bi,sas,spss,excel,powerpoint,linux,hadoop,aws,etl,olap,oracle,postgresql,data architect,data marts,hive,informatica,pl/sql,rdbms,microstrategy,teradata,mac/macintosh,c++,access,toad,word,windows nt,google analytics,c,tcp/ip,ansi sql,database management,node.js,google data studio,outlook,php,web master/developer,vba,matlab,adobe acrobat,中文打字20~50,英文打字20~50,cognos
電子商務商品活動企劃專員,松果購物股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkll8,https://www.104.com.tw/job/6c7s8?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Marketing Manager 數位行銷經理,集創立科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bjztl,https://www.104.com.tw/job/6u9vi?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend Development / 後端工程師,瑞嘉軟體科技股份有限公司,不拘,https://www.104.com.tw/company/bjl4o88,https://www.104.com.tw/job/4ozef?jobsource=jolist_b_relevance,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,巨量移動科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bl88w,https://www.104.com.tw/job/6ylyi?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Viscovery_創意引晴股份有限公司,不拘,https://www.104.com.tw/company/d9c4h00,https://www.104.com.tw/job/6igsd?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,聯齊科技股份有限公司,4年以上,https://www.104.com.tw/company/1a2x6bj0bj,https://www.104.com.tw/job/6xdur?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,美商鄧白氏股份有限公司台灣分公司,5年以上,https://www.104.com.tw/company/13tl34jk,https://www.104.com.tw/job/6y20c?jobsource=jolist_b_relevance,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Lead Data Manager,PRA Health Sciences_保瑞爾生技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjng1,https://www.104.com.tw/job/6xfjk?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Senior) Clinical Data Coordinator (Data Management),PRA Health Sciences_保瑞爾生技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjng1,https://www.104.com.tw/job/6tg2v?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Python Data Backend Engineer,伊諾科技有限公司,4年以上,https://www.104.com.tw/company/1a2x6bkxph,https://www.104.com.tw/job/6qwx5?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
