職位名稱,公司名稱,工作經歷,公司連結,職位連結,html,javascript,github,jquery,css,node.js,reactjs,sublime,linux,php,mysql,java,aws,reactnative,oop,pl/sql,python,database management,xml,go,jenkins,asp.net,c#,android,apple,swift,kotlin,systems analysis,uml,git,ios,mac os,illustrator,vmware,unity3d,mcu,objective-c,unix,http,servlets,ajax,jsp,c,c++,ms sql,django,sass,vuejs,spring,dhtml,shell,domino,tcp/ip,visual studio,excel,powerpoint,word,hadoop,postgresql,assembly,google analytics,redux,angularjs,asp,bluetooth,arm,systems analyst,d3.js,revit,rdbms,adobe photoshop,zeplin,web master/developer,adobe xd,data modeling,microsoft exchange,j2ee,xhtml,ftp,oracle,tomcat,weblogic,dreamweaver,socket,google data studio,c++.net,dos,hp-ux,abaqus,ddk,ooad,oracle forms,sdlc,stl,visual c#,loadrunner,ssh,version control,windows 8,firebase,windows 10,systems administration,dhcp,dns,hubs/ routers,j2se,jdbc,security,junit,freebsd,cgi,scala,database administrator,xml web services,capacity planning,firewall,lan,routers,udp,vlan,wan,windows server 2008,load balancing,visual studio .net,winform,games,mobile phone,visual basic,visual basic .net,odbc,struts,windows server 2012,ado,iis,adobe acrobat,鼎新,matlab,gis,ansi sql,onenote,outlook,project,r,ruby,cvs,activex,soap,sketch,test scripts,vm,mac/macintosh,mfc,win32,solidworks,ethernet,iptables,tcpdump,ldap
後端軟體工程師(金流系統開發),專羿行動股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bjn90,https://www.104.com.tw/job/6yjwo?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資深後端工程師,艾普特媒體有限公司,3年以上,https://www.104.com.tw/company/1a2x6bj2u1,https://www.104.com.tw/job/6u0nj?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php工程師,紫洣科技股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bj14w,https://www.104.com.tw/job/6rumg?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Android Engineer_Android 工程師,OpenNet_開網有限公司,1年以上,https://www.104.com.tw/company/1a2x6bktzn,https://www.104.com.tw/job/6lblw?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rails Developer(PC-T客邦),城邦文化事業股份有限公司,1年以上,https://www.104.com.tw/company/18m9x6ah,https://www.104.com.tw/job/3ndvw?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資料科學家(Data Scientist),美商百威雷科技有限公司台灣分公司,不拘,https://www.104.com.tw/company/1a2x6bl1lb,https://www.104.com.tw/job/6rzer?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
App 軟體設計工程師 (iOS/Android),思偉達創新科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bkd6e,https://www.104.com.tw/job/6hk4d?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
學生實習 Deep Learning/AI Intern ,優式機器人股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bkxbm,https://www.104.com.tw/job/6y6co?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java後端工程師(無經驗可),萬達資訊服務有限公司,不拘,https://www.104.com.tw/company/1a2x6bl028,https://www.104.com.tw/job/6romf?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前端工程師(Frontend Engineer ),澤喆數位科技股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl2y0,https://www.104.com.tw/job/6wafu?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
