職位名稱,公司名稱,工作經歷,公司連結,職位連結
資料庫SQL工程師,復旦電競有限公司,不拘,https://www.104.com.tw/company/1a2x6bk9xc,https://www.104.com.tw/job/5tkay?jobsource=jolist_b_relevance
MS SQL 資料庫維運駐點管理師（桃園區）,布魯科技有限公司,2年以上,https://www.104.com.tw/company/1a2x6bko3j,https://www.104.com.tw/job/6eni3?jobsource=jolist_b_relevance
NET程式設計師,祥順資訊有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkdkb,https://www.104.com.tw/job/60jzl?jobsource=jolist_b_relevance
MY- 外商 徵 客服人員 Customer Service Executive,新加坡商立可人事顧問有限公司台灣分公司,不拘,https://www.104.com.tw/company/1a2x6bizrb,https://www.104.com.tw/job/6xu44?jobsource=jolist_b_relevance
機械、CAD程式開發 工程師,信昌機械廠股份有限公司桃園分公司,1年以上,https://www.104.com.tw/company/152lkidk,https://www.104.com.tw/job/4wobz?jobsource=jolist_b_relevance
資訊資深工程師/工程師,關東鑫林集團桃園廠_義鎧科技股份有限公司,1年以上,https://www.104.com.tw/company/wjm16pk,https://www.104.com.tw/job/4chs4?jobsource=jolist_b_relevance
自動化測試工程師,冠信電腦股份有限公司,3年以上,https://www.104.com.tw/company/d4hw3g0,https://www.104.com.tw/job/6jc42?jobsource=jolist_b_relevance
資深ERP工程師,勝品電通股份有限公司,1年以上,https://www.104.com.tw/company/ofkslaw,https://www.104.com.tw/job/6xyrc?jobsource=jolist_b_relevance
Sr. System Integration Testing Engineer,Gogoro Taiwan Limited_睿能創意股份有限公司,不拘,https://www.104.com.tw/company/ojonwyo,https://www.104.com.tw/job/6y4p2?jobsource=jolist_b_relevance
IT Systems Administrator,銳鋒股份有限公司,3年以上,https://www.104.com.tw/company/co6r114,https://www.104.com.tw/job/6xi2l?jobsource=jolist_b_relevance
系統規劃師,台灣圓點奈米技術股份有限公司,2年以上,https://www.104.com.tw/company/cjoyzwo,https://www.104.com.tw/job/6xu3e?jobsource=jolist_b_relevance
MIS程式設計師,維輪實業股份有限公司,2年以上,https://www.104.com.tw/company/e6t2y00,https://www.104.com.tw/job/6vxtx?jobsource=jolist_b_relevance
Sr. Test Automation Engineer_Linkou,Gogoro Taiwan Limited_睿能創意股份有限公司,不拘,https://www.104.com.tw/company/ojonwyo,https://www.104.com.tw/job/6ulww?jobsource=jolist_b_relevance
網頁程式設計師,綠智慧股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bj34k,https://www.104.com.tw/job/6e5lh?jobsource=jolist_b_relevance
【桃園廠】IT 工程師 (DBA),景碩科技股份有限公司,2年以上,https://www.104.com.tw/company/winn6t4,https://www.104.com.tw/job/6ugqx?jobsource=jolist_b_relevance
ERP工程師,勝品電通股份有限公司,1年以上,https://www.104.com.tw/company/ofkslaw,https://www.104.com.tw/job/6xwmo?jobsource=jolist_b_relevance
軟體開發工程師(JQS),宇辰系統科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6biutg,https://www.104.com.tw/job/6uniy?jobsource=jolist_b_relevance
【桃園廠】SPC 資訊系統工程師 ,景碩科技股份有限公司,1年以上,https://www.104.com.tw/company/winn6t4,https://www.104.com.tw/job/6wwqd?jobsource=jolist_b_relevance
系統開發工程師,禾聯碩股份有限公司,3年以上,https://www.104.com.tw/company/10wk889c,https://www.104.com.tw/job/6ntve?jobsource=jolist_b_relevance
E110602_Java開發工程師(排班系統),偉欣資訊有限公司,3年以上,https://www.104.com.tw/company/b63qis8,https://www.104.com.tw/job/6hptd?jobsource=jolist_b_relevance
智慧物流系統工程師(109年研發替代役),迅得機械股份有限公司,不拘,https://www.104.com.tw/company/wi4quiw,https://www.104.com.tw/job/6u5c3?jobsource=jolist_b_relevance
後端開發工程師_數位製造平台(桃三),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,3年以上,https://www.104.com.tw/company/fn5mtmo,https://www.104.com.tw/job/6a4cr?jobsource=jolist_b_relevance
軟體研發工程師,耀欣數位科技股份有限公司,1年以上,https://www.104.com.tw/company/157k72dk,https://www.104.com.tw/job/6wyul?jobsource=jolist_b_relevance
【茂林光電】網管課長,茂林光電科技股份有限公司,5年以上,https://www.104.com.tw/company/wiqayc8,https://www.104.com.tw/job/6xkw5?jobsource=jolist_b_relevance
IE Analyst (倉儲物流 工業工程專員) - 桃園,UPS_美商優比速國際股份有限公司台灣分公司,1年以上,https://www.104.com.tw/company/ao082g0,https://www.104.com.tw/job/6y50y?jobsource=jolist_b_relevance
MES工程師,精材科技股份有限公司,1年以上,https://www.104.com.tw/company/7ovnv1s,https://www.104.com.tw/job/37s7n?jobsource=jolist_b_relevance
軟體工程師 -桃園,杏德生技有限公司,不拘,https://www.104.com.tw/company/dd1e4a0,https://www.104.com.tw/job/6sqmu?jobsource=jolist_b_relevance
測試開發軟體工程師,華萊光電股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bkg4t,https://www.104.com.tw/job/6l6st?jobsource=jolist_b_relevance
系統分析師（全家便利商店100%投資企業）,日翊文化行銷股份有限公司,2年以上,https://www.104.com.tw/company/cj8od2w,https://www.104.com.tw/job/6xy0e?jobsource=jolist_b_relevance
軟體工程師,耀欣數位科技股份有限公司,1年以上,https://www.104.com.tw/company/157k72dk,https://www.104.com.tw/job/3arob?jobsource=jolist_b_relevance
軟體研發主任工程師,耀欣數位科技股份有限公司,3年以上,https://www.104.com.tw/company/157k72dk,https://www.104.com.tw/job/6xu4h?jobsource=jolist_b_relevance
軟體程式 Android 開發工程師  ( JAVA開發 ),洋銘資訊股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjm3x,https://www.104.com.tw/job/6yero?jobsource=jolist_b_relevance
遊戲後端開發工程師【桃園】,泰極星股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl3rb,https://www.104.com.tw/job/6w506?jobsource=jolist_b_relevance
IoT-Factory系統開發工程師_.NET Core(林口廠),Advantech_研華股份有限公司,不拘,https://www.104.com.tw/company/2d9ntmw,https://www.104.com.tw/job/3y0g5?jobsource=jolist_b_relevance
資訊處_軟體工程師(軟體/商業智慧與流程改善)_林口/汐止,GARMIN_台灣國際航電股份有限公司,3年以上,https://www.104.com.tw/company/at3fhmo,https://www.104.com.tw/job/3n0v5?jobsource=jolist_b_relevance
【桃園廠】EDC 大數據資料平台工程師,景碩科技股份有限公司,1年以上,https://www.104.com.tw/company/winn6t4,https://www.104.com.tw/job/6wwqn?jobsource=jolist_b_relevance
MES工程師(C#),大碩智能科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bl05i,https://www.104.com.tw/job/6ssy1?jobsource=jolist_b_relevance
好客燒烤-內外場兼職(中壢店),好客餐飲股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bi8ga,https://www.104.com.tw/job/6csq3?jobsource=jolist_b_relevance
前端軟體設計工程師(中壢),碩達電子科技股份有限公司,2年以上,https://www.104.com.tw/company/cm8actc,https://www.104.com.tw/job/6w62i?jobsource=jolist_b_relevance
管理軟體研發工程師-(02),冠信電腦股份有限公司,3年以上,https://www.104.com.tw/company/d4hw3g0,https://www.104.com.tw/job/6g48v?jobsource=jolist_b_relevance
